index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
405,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.81981982,0.5,-39.01098901
406,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.900900901,0.5,-44.5
407,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.81981982,0.625,-23.76373626
408,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.846846847,0.5,-40.95744681
409,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.810810811,0.5,-38.33333333
410,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.828828829,0.375,-54.75543478
411,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.846846847,0.5,-40.95744681
412,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.774774775,0.75,-3.197674419
413,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.783783784,0.625,-20.25862069
414,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.792792793,0.75,-5.397727273
415,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.792792793,0.75,-5.397727273
416,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.828828829,0.75,-9.510869565
417,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.837837838,0.75,-10.48387097
418,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.855855856,0.5,-41.57894737
419,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.2,5,4,0.001,0.839285714,0.714285714,-14.89361702
420,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.900900901,0.5,-44.5
421,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.837837838,0.625,-25.40322581
422,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.873873874,0.75,-14.17525773
423,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.891891892,0.25,-71.96969697
424,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.873873874,0.5,-42.78350515
425,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.810810811,0.375,-53.75
426,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.783783784,0.375,-52.15517241
427,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.828828829,0.875,5.570652174
428,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.783783784,0.5,-36.20689655
429,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.891891892,0.5,-43.93939394
430,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.855855856,0.875,2.236842105
431,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.846846847,0.75,-11.43617021
432,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.792792793,0.75,-5.397727273
433,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.90990991,0.5,-45.04950495
434,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.2,5,4,0.0001,0.866071429,0.857142857,-1.030927835
435,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.738738739,0.625,-15.39634146
436,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.891891892,0.875,-1.893939394
437,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.855855856,0.625,-26.97368421
438,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.828828829,0.375,-54.75543478
439,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.864864865,0.5,-42.1875
440,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.864864865,0.375,-56.640625
441,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.864864865,0.375,-56.640625
442,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.801801802,0.875,9.129213483
443,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.828828829,0.375,-54.75543478
444,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.720720721,0.625,-13.28125
445,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.81981982,0.75,-8.516483516
446,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.855855856,0.875,2.236842105
447,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.792792793,0.875,10.36931818
448,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.756756757,0.5,-33.92857143
449,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.2,5,4,1.00E-05,0.875,1,14.28571429
450,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.765765766,0.5,-34.70588235
451,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.783783784,0.75,-4.310344828
452,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.846846847,0.875,3.324468085
453,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.783783784,0.5,-36.20689655
454,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.855855856,0.625,-26.97368421
455,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.738738739,0.5,-32.31707317
456,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.774774775,0.75,-3.197674419
457,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.693693694,0.875,26.13636364
458,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.72972973,0.375,-48.61111111
459,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.720720721,1,38.75
460,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.855855856,0.875,2.236842105
461,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.81981982,0.875,6.730769231
462,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.81981982,0.875,6.730769231
463,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.72972973,0.5,-31.48148148
464,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.2,6,3,0.1,0.785714286,1,27.27272727
465,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.765765766,0.5,-34.70588235
466,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.864864865,0.875,1.171875
467,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.846846847,0.75,-11.43617021
468,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.837837838,0.5,-40.32258065
469,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.846846847,0.5,-40.95744681
470,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.81981982,0.375,-54.25824176
471,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.801801802,0.25,-68.82022472
472,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.846846847,0.875,3.324468085
473,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.873873874,0.625,-28.47938144
474,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.774774775,0.75,-3.197674419
475,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.900900901,0.875,-2.875
476,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.792792793,0.75,-5.397727273
477,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.828828829,0.625,-24.5923913
478,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.81981982,0.625,-23.76373626
479,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.2,6,3,0.01,0.848214286,0.857142857,1.052631579
480,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.846846847,0.625,-26.19680851
481,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.828828829,0.875,5.570652174
482,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.90990991,0.625,-31.31188119
483,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.873873874,0.375,-57.08762887
484,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.738738739,0.5,-32.31707317
485,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.801801802,0.625,-22.0505618
486,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.918918919,0.625,-31.98529412
487,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.90990991,0.875,-3.836633663
488,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.864864865,0.5,-42.1875
489,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.882882883,0.75,-15.05102041
490,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.783783784,0.75,-4.310344828
491,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.792792793,0.875,10.36931818
492,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.792792793,0.75,-5.397727273
493,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.747747748,0.5,-33.13253012
494,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.2,6,3,0.001,0.767857143,0.714285714,-6.976744186
495,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.837837838,0.375,-55.24193548
496,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.855855856,0.75,-12.36842105
497,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.936936937,1,6.730769231
498,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.864864865,0.375,-56.640625
499,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.81981982,0.5,-39.01098901
500,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.864864865,0.5,-42.1875
501,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.792792793,0.375,-52.69886364
502,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.873873874,0.875,0.128865979
503,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.783783784,0.375,-52.15517241
504,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.828828829,0.625,-24.5923913
505,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.846846847,0.75,-11.43617021
506,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.747747748,0.625,-16.41566265
507,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.783783784,0.5,-36.20689655
508,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.891891892,0.5,-43.93939394
509,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.2,6,3,0.0001,0.785714286,0.857142857,9.090909091
510,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.864864865,0.375,-56.640625
511,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.81981982,0.75,-8.516483516
512,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.693693694,0.875,26.13636364
513,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.801801802,0.125,-84.41011236
514,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.792792793,0.5,-36.93181818
515,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.747747748,0.5,-33.13253012
516,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.792792793,0.625,-21.16477273
517,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.873873874,0.75,-14.17525773
518,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.72972973,0.375,-48.61111111
519,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.837837838,0.625,-25.40322581
520,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.864864865,0.75,-13.28125
521,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.828828829,0.625,-24.5923913
522,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.837837838,0.875,4.435483871
523,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.801801802,0.625,-22.0505618
524,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.2,6,3,1.00E-05,0.803571429,0.714285714,-11.11111111
525,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.810810811,0.5,-38.33333333
526,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.738738739,0.875,18.44512195
527,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.81981982,0.875,6.730769231
528,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.810810811,0.5,-38.33333333
529,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.828828829,0.5,-39.67391304
530,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.846846847,0.5,-40.95744681
531,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.72972973,0.25,-65.74074074
532,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.801801802,0.875,9.129213483
533,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.81981982,0.625,-23.76373626
534,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.81981982,0.625,-23.76373626
535,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.828828829,1,20.65217391
536,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.774774775,0.875,12.93604651
537,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.675675676,0.75,11
538,"{'nn_model__dropout_rate': 0.2, 'nn_model__layer_1': 6, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.2,6,4,0.1,0.801801802,0.625,-22.0505618
