index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
67,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.837837838,0.75,-10.48387097
68,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.927927928,0.125,-86.52912621
69,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.963963964,0.625,-35.1635514
70,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.855855856,0.875,2.236842105
71,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.873873874,0.5,-42.78350515
72,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.972972973,0.375,-61.45833333
73,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.900900901,0.625,-30.625
74,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0,5,3,1.00E-05,0.973214286,0.857142857,-11.9266055
75,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.846846847,0.375,-55.71808511
76,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.792792793,0.875,10.36931818
77,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.846846847,0.875,3.324468085
78,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.837837838,0.375,-55.24193548
79,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.828828829,0.625,-24.5923913
80,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.801801802,0.5,-37.64044944
81,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.81981982,0.5,-39.01098901
82,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.864864865,0.75,-13.28125
83,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.810810811,0.5,-38.33333333
84,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.774774775,0.625,-19.33139535
85,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.810810811,0.75,-7.5
86,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.828828829,0.75,-9.510869565
87,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.810810811,0.75,-7.5
88,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.828828829,0.625,-24.5923913
89,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0,5,4,0.1,0.857142857,0.714285714,-16.66666667
90,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.954954955,0.5,-47.64150943
91,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.864864865,0.75,-13.28125
92,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.900900901,0.5,-44.5
93,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.891891892,0.25,-71.96969697
94,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.954954955,0.625,-34.55188679
95,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.927927928,0.375,-59.58737864
96,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.864864865,0.375,-56.640625
97,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.945945946,0.5,-47.14285714
98,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.900900901,0.375,-58.375
99,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.945945946,0.625,-33.92857143
100,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.918918919,0.375,-59.19117647
101,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.954954955,0.875,-8.372641509
102,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.90990991,0.375,-58.78712871
103,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.90990991,0.5,-45.04950495
104,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0,5,4,0.01,0.919642857,0.571428571,-37.86407767
105,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.945945946,0.375,-60.35714286
106,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.936936937,0.75,-19.95192308
107,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.936936937,0.25,-73.31730769
108,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.900900901,0.125,-86.125
109,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.864864865,0.5,-42.1875
110,"{'nn_model__dropout_rate': 0.0, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0,5,4,0.001,0.873873874,0.625,-28.47938144
