index,parameters,max_depth,n_estimators,training,validation,overfit_%
114,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.666666667,0.375,-43.75
115,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.684684685,0.5,-26.97368421
116,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.486486486,0.5,2.777777778
117,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.612612613,0.75,22.42647059
118,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.621621622,0.625,0.543478261
119,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 3}",3,3,0.642857143,0.571428571,-11.11111111
120,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.675675676,0.5,-26
121,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.630630631,0.625,-0.892857143
122,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.657657658,0.625,-4.965753425
123,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.63963964,0.25,-60.91549296
124,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.684684685,0.375,-45.23026316
125,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.666666667,0.75,12.5
126,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.666666667,0.375,-43.75
127,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.648648649,0.625,-3.645833333
128,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.657657658,0.25,-61.98630137
129,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.657657658,0.5,-23.97260274
130,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.675675676,0.375,-44.5
131,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.558558559,0.375,-32.86290323
132,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.603603604,0.375,-37.87313433
133,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.585585586,0.625,6.730769231
134,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 4}",3,4,0.705357143,0.714285714,1.265822785
135,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.738738739,0.375,-49.23780488
136,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.63963964,0.375,-41.37323944
137,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.675675676,0.75,11
138,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.72972973,0.375,-48.61111111
139,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.711711712,0.375,-47.31012658
140,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.675675676,0.625,-7.5
141,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.657657658,0.5,-23.97260274
142,"{'rf_class__max_depth': 3, 'rf_class__n_estimators': 5}",3,5,0.594594595,0.625,5.113636364
