index,parameters,oversample_SMOTE__sampling_strategy,kn_class__n_neighbors,kn_class__weights,kn_class__algorithm,kn_class__p,training,validation,overfit_%
60,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.927927928,1,7.766990291
61,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.945945946,1,5.714285714
62,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,1,4.716981132
63,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,0.875,-8.372641509
64,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.945945946,0.625,-33.92857143
65,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.936936937,0.875,-6.610576923
66,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.945945946,1,5.714285714
67,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,1,4.716981132
68,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,0.875,-8.372641509
69,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.963963964,1,3.738317757
70,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.936936937,1,6.730769231
71,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,1,4.716981132
72,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,1,4.716981132
73,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.954954955,0.75,-21.46226415
74,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 600, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,600,uniform,brute,2,0.955357143,1,4.672897196
75,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.927927928,1,7.766990291
76,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.945945946,1,5.714285714
77,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.963963964,1,3.738317757
78,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.954954955,0.75,-21.46226415
79,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.945945946,0.625,-33.92857143
80,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.936936937,0.875,-6.610576923
81,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.936936937,1,6.730769231
82,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.945945946,1,5.714285714
83,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.954954955,0.875,-8.372641509
84,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.954954955,1,4.716981132
85,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.936936937,1,6.730769231
86,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.954954955,1,4.716981132
87,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.954954955,1,4.716981132
88,"{'kn_class__algorithm': 'brute', 'kn_class__n_neighbors': 700, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,700,uniform,brute,2,0.954954955,0.875,-8.372641509
