index,parameters,oversample_SMOTE__sampling_strategy,kn_class__n_neighbors,kn_class__weights,kn_class__algorithm,kn_class__p,training,validation,overfit_%
93,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.927927928,0.75,-19.17475728
94,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.936936937,0.75,-19.95192308
95,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.918918919,0.875,-4.779411765
96,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.954954955,0.875,-8.372641509
97,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.936936937,1,6.730769231
98,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.927927928,0.75,-19.17475728
99,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.954954955,1,4.716981132
100,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.927927928,1,7.766990291
101,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.945945946,0.875,-7.5
102,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.927927928,0.875,-5.703883495
103,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.927927928,0.875,-5.703883495
104,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 1.0}",1,100,uniform,auto,2,0.946428571,1,5.660377358
105,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.882882883,1,13.26530612
106,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.873873874,0.875,0.128865979
107,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.927927928,1,7.766990291
108,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.90990991,0.75,-17.57425743
109,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.900900901,0.75,-16.75
110,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.900900901,0.75,-16.75
111,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.918918919,0.875,-4.779411765
112,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.900900901,1,11
113,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.90990991,0.75,-17.57425743
114,"{'kn_class__algorithm': 'auto', 'kn_class__n_neighbors': 100, 'kn_class__p': 2, 'kn_class__weights': 'uniform', 'oversample_SMOTE__sampling_strategy': 0.85}",0.85,100,uniform,auto,2,0.927927928,1,7.766990291
